date,temp_c,precip_mm,weathercode
2008-12-09,0.5,0.1,71
2008-12-10,1.3,0.1,71
2008-12-11,1.25,0.0,3
2008-12-12,-0.10000000000000009,0.0,3
2008-12-13,-0.20000000000000007,0.0,3
2008-12-14,2.4,0.0,3
2008-12-15,2.1,0.0,3
2008-12-16,2.2,0.0,3
2008-12-17,0.8,1.6,51
2008-12-18,2.6,0.1,51
2008-12-19,4.35,1.9,53
2008-12-20,5.75,3.5,53
2008-12-21,5.2,0.3,51
2008-12-22,7.0,2.8,51
2008-12-23,4.65,0.0,3
2008-12-24,5.199999999999999,0.9,51
2008-12-25,2.2,0.0,3
2008-12-26,-1.35,0.0,3
2008-12-27,-1.15,0.0,3
2008-12-28,-1.8499999999999999,0.0,3
2008-12-29,-2.4499999999999997,0.0,2
2008-12-30,-2.8,0.0,0
2008-12-31,-3.4000000000000004,0.0,3
2009-01-01,-3.0500000000000003,0.5,71
2009-01-02,-1.65,0.5,71
2009-01-03,-4.05,0.0,71
2009-01-04,0.04999999999999999,9.5,73
2009-01-05,-3.95,1.3,73
2009-01-06,-13.95,0.0,1
2009-01-07,-11.5,0.7,71
2009-01-08,-7.8999999999999995,0.0,3
2009-01-09,-9.25,0.0,1
2009-01-10,-4.6,0.0,1
2009-01-11,-4.1499999999999995,0.0,3
2009-01-12,0.30000000000000004,0.0,3
2009-01-13,2.95,0.0,3
2009-01-14,2.5,1.5,51
2009-01-15,0.9500000000000001,0.1,51
2009-01-16,0.5499999999999999,0.0,3
2009-01-17,2.75,0.6,53
2009-01-18,3.75,4.2,53
2009-01-19,3.4499999999999997,4.4,55
2009-01-20,3.1999999999999997,0.1,51
2009-01-21,0.8499999999999999,0.0,2
2009-01-22,1.65,1.3,71
2009-01-23,4.2,10.3,61
2009-01-24,2.95,2.1,53
2009-01-25,2.0,0.0,3
2009-01-26,0.55,0.0,3
2009-01-27,0.15000000000000002,0.0,3
2009-01-28,0.34999999999999987,0.0,3
2009-01-29,-0.8,0.0,3
2009-01-30,-0.30000000000000004,0.0,3
2009-01-31,0.3999999999999999,0.0,3
2009-02-01,-1.55,0.0,71
2009-02-02,1.0999999999999999,0.0,3
2009-02-03,2.0999999999999996,0.0,3
2009-02-04,0.6500000000000001,0.3,51
2009-02-05,3.5500000000000003,0.3,51
2009-02-06,5.4,0.3,51
2009-02-07,2.55,6.4,53
2009-02-08,1.3,0.4,71
2009-02-09,0.7499999999999999,0.5,71
2009-02-10,3.65,15.8,75
2009-02-11,0.8500000000000001,7.2,75
2009-02-12,-0.3500000000000001,2.7,73
2009-02-13,-0.15000000000000002,4.4,73
2009-02-14,-2.0500000000000003,0.0,71
2009-02-15,-2.05,2.8,73
2009-02-16,2.3,7.2,73
2009-02-17,-1.0000000000000002,7.3,73
2009-02-18,-2.4,0.0,3
2009-02-19,-1.0,1.8,73
2009-02-20,2.5,3.3,71
2009-02-21,3.1999999999999997,3.3,71
2009-02-22,4.45,2.7,53
2009-02-23,4.35,2.6,51
2009-02-24,3.55,0.0,3
2009-02-25,3.55,1.1,51
2009-02-26,6.3,6.0,53
2009-02-27,5.4,6.2,53
2009-02-28,6.9,3.8,53
2009-03-01,8.5,0.0,3
2009-03-02,5.449999999999999,0.5,51
2009-03-03,5.5,0.0,3
2009-03-04,6.4,0.0,3
2009-03-05,3.4499999999999997,2.4,55
2009-03-06,3.95,13.4,53
2009-03-07,4.3,1.2,51
2009-03-08,5.75,4.5,61
2009-03-09,4.0,2.6,53
2009-03-10,3.65,8.9,61
2009-03-11,5.1,2.4,51
2009-03-12,5.050000000000001,6.5,53
2009-03-13,6.5,0.0,3
2009-03-14,7.449999999999999,1.6,53
2009-03-15,6.4,3.6,53
